,state,county_fips,county,m_housing,m_food,m_transport,m_health,m_other,m_taxes,m_total,a_housing,a_food,a_transport,a_health,a_other,a_taxes,a_total,median_family_income,num_counties_in_state,state_cost_rank,state_median_aff_rank,state_income_rank,min_wage,m_income,a_income,a_ratio,m_ratio
1,AL,1001,Autauga County,817,335,1110,510,408,624,3803,9804,4020,13320,6120,4896,7488,45636,83790,67,8,58,7,7.25,1276,15080,0.33044088,0.335524586
2,AL,1003,Baldwin County,924,379,1114,480,461,666,4025,11088,4548,13368,5760,5532,7992,48300,89953,67,4,62,4,7.25,1276,15080,0.312215321,0.317018634
3,AL,1005,Barbour County,558,322,1059,470,312,514,3235,6696,3864,12708,5640,3744,6168,38820,55672,67,63,16,58,7.25,1276,15080,0.388459557,0.394435858
4,AL,1007,Bibb County,652,306,1175,518,339,579,3569,7824,3672,14100,6216,4068,6948,42828,70064,67,19,34,25,7.25,1276,15080,0.352106099,0.357523116
5,AL,1009,Blount County,605,302,1150,518,321,556,3453,7260,3624,13800,6216,3852,6672,41436,73528,67,9,32,16,7.25,1276,15080,0.363934743,0.369533739
6,AL,1011,Bullock County,620,360,1208,470,347,582,3586,7440,4320,14496,5640,4164,6984,43032,43750,67,21,2,66,7.25,1276,15080,0.350436884,0.355828221
7,AL,1013,Butler County,576,306,1221,487,312,558,3461,6912,3672,14652,5844,3744,6696,41532,59217,67,35,14,56,7.25,1276,15080,0.363093518,0.368679572
8,AL,1015,Calhoun County,605,337,1065,489,334,540,3369,7260,4044,12780,5868,4008,6480,40428,68959,67,43,44,28,7.25,1276,15080,0.373008806,0.378747403
9,AL,1017,Chambers County,688,305,1103,470,352,561,3480,8256,3660,13236,5640,4224,6732,41760,60000,67,29,12,51,7.25,1276,15080,0.361111111,0.366666667
10,AL,1019,Cherokee County,574,310,1117,487,313,533,3335,6888,3720,13404,5844,3756,6396,40020,63429,67,64,40,41,7.25,1276,15080,0.376811594,0.382608696
11,AL,1021,Chilton County,617,326,1131,518,334,563,3489,7404,3912,13572,6216,4008,6756,41868,72090,67,30,49,19,7.25,1276,15080,0.360179612,0.365720837
12,AL,1023,Choctaw County,560,313,1169,470,309,538,3359,6720,3756,14028,5640,3708,6456,40308,64349,67,51,30,39,7.25,1276,15080,0.374119282,0.379874963
13,AL,1025,Clarke County,560,307,1140,487,307,533,3335,6720,3684,13680,5844,3684,6396,40020,64688,67,36,23,36,7.25,1276,15080,0.376811594,0.382608696
14,AL,1027,Clay County,520,297,1162,487,289,522,3278,6240,3564,13944,5844,3468,6264,39336,60216,67,60,22,50,7.25,1276,15080,0.38336384,0.389261745
15,AL,1029,Cleburne County,561,340,1125,470,319,537,3352,6732,4080,13500,5640,3828,6444,40224,71833,67,54,55,20,7.25,1276,15080,0.374900557,0.380668258
16,AL,1031,Coffee County,607,360,1116,470,343,556,3452,7284,4320,13392,5640,4116,6672,41424,76211,67,42,61,13,7.25,1276,15080,0.36404017,0.369640788
17,AL,1033,Colbert County,605,353,1065,486,339,544,3392,7260,4236,12780,5832,4068,6528,40704,69400,67,12,24,27,7.25,1276,15080,0.37047956,0.376179245
